service_request_id,service_name,title,description,requested_datetime,status
59400-2025,Brunnen verschmutzt,#59400-2025 Brunnen verschmutzt,"Stark Verschmutzung, Hundekotbeutel, und Brunnen funktioniert nicht richtig und läuft über",2025-08-08T09:43:31+02:00,open
59402-2025,Brunnen verschmutzt,#59402-2025 Brunnen verschmutzt,"Beim Brunnen am St. Anna Platz sind die Abläufe verstopft, Brunnen läuft über.",2025-08-08T09:54:40+02:00,open
59465-2025,Brunnen beschädigt,#59465-2025 Brunnen beschädigt,"Es ist 2°° morgens und der Brunnen läuft immer noch.
Hier kann keiner schlafen!",2025-08-09T01:43:55+02:00,open
59467-2025,Brunnen beschädigt,#59467-2025 Brunnen beschädigt,Der Brunnen beim Schmied von Kochel Denkmal läuft auf der linken Seite über ,2025-08-09T07:57:57+02:00,open
59497-2025,Denkmal beschädigt,#59497-2025 Denkmal beschädigt,Graffiti auf der Rückseite des Perathoner Steins (Denkmal),2025-08-09T15:15:17+02:00,open
59759-2025,Brunnen verschmutzt,#59759-2025 Brunnen verschmutzt,"Bitte Brunnen reinigen, danke.

Mit freundlichen Grüßen

Andrea Veit ",2025-08-13T17:32:13+02:00,open
59851-2025,Brunnen verschmutzt,#59851-2025 Brunnen verschmutzt,Starke Verschmutzung durch Algenbildung,2025-08-15T00:15:24+02:00,open
60127-2025,Leuchte ausgefallen,#60127-2025 Leuchte ausgefallen,Straßenlaterne defekt.,2025-08-18T23:17:15+02:00,open
60128-2025,Leuchte ausgefallen,#60128-2025 Leuchte ausgefallen,Neue LED Laterne mit breitem Mast im unteren Teil leuchtet nicht.,2025-08-18T23:20:33+02:00,open
60129-2025,Leuchte ausgefallen,#60129-2025 Leuchte ausgefallen,Laterne aus.,2025-08-18T23:22:13+02:00,open
